Customer_ID,Arrival_Time,Waiting_Time (min),Service_Time (min),Total_Time (min)
1,11:30:15,0.00,4.50,4.50
2,11:31:10,0.00,4.20,4.20
3,11:32:25,0.00,4.75,4.75
4,11:34:20,0.00,4.10,4.10
5,11:36:05,0.30,4.40,4.70
6,11:37:15,0.00,5.10,5.10
7,11:38:55,0.00,3.95,3.95
8,11:40:20,0.45,4.60,5.05
9,11:42:00,0.00,4.85,4.85
10,11:43:40,0.00,4.25,4.25
11,11:45:25,0.00,4.60,4.60
12,11:47:05,0.00,4.35,4.35
13,11:49:00,0.00,4.10,4.10
14,11:51:00,0.00,4.85,4.85
15,11:53:10,0.20,4.90,5.10
16,11:54:45,0.00,4.55,4.55
17,11:56:10,0.00,4.40,4.40
18,11:57:35,0.00,4.30,4.30
19,11:59:25,0.00,4.85,4.85
20,12:01:30,0.00,4.10,4.10
21,12:03:10,0.00,4.25,4.25
22,12:05:00,0.00,4.55,4.55
23,12:06:30,0.00,4.40,4.40
24,12:08:20,0.00,4.20,4.20
25,12:10:00,0.00,4.50,4.50
26,12:12:10,0.00,4.75,4.75
27,12:14:25,0.30,5.00,5.30
28,12:16:30,0.00,4.65,4.65
29,12:18:10,0.00,4.45,4.45
30,12:20:05,0.00,4.60,4.60
31,12:22:00,0.00,4.80,4.80
32,12:24:10,0.00,4.20,4.20
33,12:25:55,0.00,4.65,4.65
34,12:27:20,0.00,4.25,4.25
35,12:29:15,0.00,4.70,4.70
36,12:31:00,0.00,4.10,4.10
37,12:33:10,0.00,4.90,4.90
38,12:35:00,0.00,4.75,4.75
39,12:37:20,0.00,4.35,4.35
40,12:39:30,0.00,4.60,4.60
41,12:41:50,0.00,4.55,4.55
42,12:43:30,0.00,4.25,4.25
43,12:45:05,0.00,4.50,4.50
44,12:47:00,0.00,4.20,4.20
45,12:49:10,0.00,4.40,4.40
46,12:51:00,0.00,4.65,4.65
47,12:53:20,0.00,4.35,4.35
48,12:55:05,0.00,4.60,4.60
49,12:57:00,0.00,4.85,4.85
50,12:59:15,0.00,4.55,4.55
